has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://amexone.fornoitalic.com/login,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://mercatecenter.com/personalnedbank/app/user.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://jasccservice.hpyhi.cn/8ut7vV,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://jasccservice.tvblog.cn/8ut7vV,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://jasccservice.a5bzl2q.cn/8ut7vV,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://jasccservice.8kin58a.cn/8ut7vV,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://jasccservice.fzeo73z.cn/8ut7vV,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://jasccservice.a179tng.cn/8ut7vV,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.oferta-146482-proponowane-dla-ciebie.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.oferta48239642042.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.oferta-157482-proponowane-dla-ciebie.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.oferta-914087872.top,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://5wa8y01.top/protocol/openid-connect/authclient,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://xadwkr9.top/protocol/openid-connect/authclient,1
1,1,1,1,1,1,0,0,1,0,0,7,1,1,0,8,0,1,8,0,27,4,https://yaeasd.weebly.com/,1
1,1,1,1,0,1,0,0,0,0,0,8,1,1,0,0,0,0,9,0,59,16,https://floressteven.wixsite.com/my-site-1,1
1,1,1,1,1,1,0,0,1,0,0,8,1,2,0,0,0,0,8,0,23,43,https://elizaji00.weebly.com/,1
1,1,1,1,1,1,0,0,1,0,0,8,2,9,0,0,0,2,17,0,28,12,https://courrielweb-videotron-login-layout-iwc-static-fr-html-calender.weebly.com/,1
1,1,1,1,1,1,0,0,1,0,0,8,1,3,0,0,0,2,7,0,22,4,https://bigwavee.weebly.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.oferta-136482-proponowane-rozne-1.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://shinkinopjf.com/htm/sh1n/loginUsername?state=donghai&amp;bankNo=1530,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://roase.pl/netf/138aab288c363726990120413c62acee/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://roase.pl/netf,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://autokoopkeuring.eu/e-hfjbsndsjdkb.html,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://sslvhconnectclients.wan64.de/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://infos25.cloudaccess.host/wp-content/uploads/2025/12/ESAN/corr/corr.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://t.co/M8Rj4z8sWY,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://dalmasso.com.ar/ES-Correos/correos-org/c/corr.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://t.co/QhjvpZKRIn,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://booking.conflrmation-id703.com/reservation/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://did.li/kvesh-co,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://ngpb.xhad.gq/voucheridspa472782332/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://epochage.ru/escord/index.php,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/bgWRFJ,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/bgWRFJ,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/my7Gov3yOC?sbW=EyK4J?hoM=hPQ4o,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://securemygov.auloginx6e8.sbs/verfyid,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/my6Gov1yOJ,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/my6Gov1yOJ,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://l.ead.me/my6Gov1yOJ,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://securemygov.auloginx6e7.sbs/verfyid,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://shorter.me/F8SnC,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/bgWvSB,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/bgWvSB,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://l.ead.me/bgWvSB,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/bgX6UP,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,https://qrco.de/bgX2Kj,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/bgWx7m,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/bgX6UP,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/bgWx7m,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://l.ead.me/bgX6UP,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,https://l.ead.me/bgX2Kj,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://w1w.portalrenovacao.com/x1/access_37830c7d460cc1c0ec36f858c44368fa5ebc8ea465a4976539ff68cea410e201/kZFrfIHFP4oFHHrO9xr/kZFrfIHFP4oFHHrO9xrOCEwZdJ3ZM81GN/?SQkgUjFm2R4N5M#B-/#2aR4ZMyj57Od32UdWVTPqdaOoBR#X/HvFodv2XER0eHFYKqg46EoD2WONvUYB4vdh#xQ,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://sms.gestordealtaperformance.com.br/jago//index.php?emp=,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/correoss,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,1,4,29,https://qrco.de/bgX6Qn,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/correoss,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://srv244853.hoster-test.ru/corr-eo/CRS/corr/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://q-r.to/bgX6Qn,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://health-coders.com.ar/app/France/infospage.php,1
1,1,1,1,0,1,1,0,1,0,0,23,2,1,4,11,0,0,2,0,0,9,https://bafybeidvx6hveqeefsjwhbvgejdhq66mqko34cdanduu54ebihc52d7btq.ipfs.dweb.link/jtharnessseoulchemistrykoreaworldpro1191639187gmsporjectconnectwo.html/,1
1,1,1,1,0,1,1,1,0,0,0,3,2,8,0,6,0,0,2,4,2,13,https://bafybeie45qepoxuvkvfobfu7gqrv7umumftfnnihgxoqmgckuhzx3ndl6q.ipfs.dweb.link/?filename=index.html,1
1,1,1,1,0,1,1,1,1,0,0,6,3,2,35,9,0,0,3,0,7,13,https://bafybeidsmmaxbsctq7mfbpe4k5sgiecocnuk4rhgmytdqz3pz7z2te3hwm.ipfs.dweb.link/,1
1,1,0,1,0,1,1,0,1,0,0,6,0,3,0,0,0,0,1,2,4,7,https://bafybeie7lbm2yjucacnbbj5lzuxh7hfqf6v27ohwsnzbsbxm5ikxob3pim.ipfs.dweb.link/,1
1,1,0,1,0,1,1,0,1,0,0,6,0,3,0,0,0,0,1,2,4,7,https://bafybeibt7gvufsgdp3colbyw7ax6k6zl7hra6uebf3bfwhjmop5h76geki.ipfs.dweb.link/,1
1,1,1,1,0,1,1,1,1,0,0,3,1,2,0,0,0,0,2,2,16,28,https://bafkreihgclv3jsjllcq6cmfypbt7e345o4kbzuyuqk43e7bgbk67igq2q4.ipfs.dweb.link/,1
1,1,1,1,0,1,1,1,1,0,0,4,1,2,0,0,0,26,3,0,9,28,https://bafybeia477als3enoi73y64dbqy3gffhudzvwu56ohrwry3swave7rndyi.ipfs.dweb.link/dhl.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://l.wl.co/l?u=https://qr-codes.io/j6G7ba,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://qr-codes.io/j6G7ba,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://ipvmanageupdtomsadogvkmev.gusmartov.biz.id/?kvskmdji,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://l.wl.co/l?u=https://qr-codes.io/vqJjF0,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://qr-codes.io/vqJjF0,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://servupdtintlockedverifmangehasudaw.amango.org/?yyy,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://l.wl.co/l?u=https://qr-codes.io/ATaDxC,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://qr-codes.io/ATaDxC,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://l.wl.co/l?u=https://qr-codes.io/7jzPJa,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://qr-codes.io/7jzPJa,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://managewebappscreuiaiuywskeuhfykujhwsedgfsdg.anomalik4.biz.id/?yyy,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://phillyhoods.com/docomo/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://esantiyondeposu.com/docomo/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://vortextranslate.com/titpay47ksta.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://peage-reglement.fr/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://2fa.metamaskweb.com/verify.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://2fa.metamaskweb.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://hetzel.sms-transitsms.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://hetzel.sms-transitsms.com/as.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://samwvruh.cenwioewifewwef.info/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-oferta423413.sbs/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.922857415.cfd/oferta/okuklary-meta-quest-3-512-gb-vr-stan-bardzo-dobry-58c219,1
1,1,1,1,0,1,0,0,0,0,0,2,11,73,0,17,0,0,20,37,29,31,https://faculdadesiriolibanes.vercel.app,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://myuberinternal.com/index.php?passtoken=&redirect=/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://myuberinternal.com,1
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,1,11,0,52,https://ledger-wallet.gitlab.io/live,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.pl-oferta223322.cfd,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://sprtrlay.info,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://rlay-support.info/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://rlaysupport.info/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://rlaysupport.info/index.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.oferta-136482-proponowane-dla-ciebie.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://combe.app-exped-fr.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://combe.app-exped-fr.com/as.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-oferta232124.sbs/oferta/okulary-vr-meta-quest-3-512-gb-bc1f35,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegro.pl-oferta764326.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.pl-rezerwacja205921.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegro.pl-rezerwacja205921.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://82jtwgw.lol/yuyvbh0v/x2xwCh/ZRCcYs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.01648.click/iphone-13-pro-max-grafit-90-ko/61607,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-270256.icu/oferta/konsola-nintendo-switch-w-kolorze-szarym-caly-zestaw/51661,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://ipko-olnine-bonus-online.onlinsed.cfd/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://2fa.metamaskweb.com,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://info-instruction.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://info-instruction.com/as.php,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.info-instruction.com/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.637890.click/gopro-hero-12-czarny/87022,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.76446.net/?id=IJfIb1c98cN4oiDJH6aG52mF4M4df4,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.oferta4184736293.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-oferta232124.sbs/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,https://portaldeacesso-completo.vercel.app/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://allegrolokalnie.pl-0989139.icu/,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://coinxpd.cc/main.html,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.equire.cfd/ec4Zv3,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.insighte.cfd/ec4Zv3,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.nexouas.cfd/ec4Zv3,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegro.pl-74130534122.cfd,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.pl-rezerwacja295538.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegro.pl-rezerwacja295538.sbs,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://trezor-update.com,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,http://allegrolokalnie.pl-74130534122.cfd,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,http://allegrolokalnie.oferta42753.icu,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,19,https://www.strates.cfd/indexco.jp,1
1,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,2,2,18,https://allegrolokalnie.pl-oferta782479.sbs/,1
1,1,1,1,0,1,0,0,0,0,0,1,7,4,0,1,0,0,20,1,57,24,https://uppholdlogin.gitbook.io/us-en/,1
1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,2,6,41,https://valide-academie.ukit.me/,1
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,31,https://sp965047.sitebeat.crazydomains.com/,1
